time_window,total_packets,mean_packet_size,std_packet_size,icmp_count,arp_count,mean_inter_arrival,std_inter_arrival
0,16,63.5,0.8944271909999159,0,12,0.15389620463053386,0.24675481489046314
1,6,86.0,8.0,0,0,0.46319379806518557,0.38495140308463893
2,12,86.0,7.627700713964739,0,0,0.7065589211203835,0.9324733639544264
3,12,86.0,7.627700713964739,0,0,0.7304966232993386,0.6235905565132344
4,1,70.0,,0,0,0.0,0.0
5,1,70.0,,0,0,0.0,0.0
6,1,70.0,,0,0,0.0,0.0
