time_window,total_packets,mean_packet_size,std_packet_size,icmp_count,arp_count,mean_inter_arrival,std_inter_arrival
0,4,63.5,1.0,0,3,0.683760404586792,0.4479191896211442
2,8,97.25,30.797727188868986,6,2,0.28649044036865234,0.452525927648031
3,13,98.0,28.0,11,2,0.7507960796356201,0.7255268236740738
4,10,106.4,13.525284963110144,10,0,1.0009489059448242,0.8167785929675382
5,5,109.2,15.336231610144651,5,0,0.7508184909820557,0.8298061328403638
